rec_number	first_author	year	pmid	title	abstract
4636	Kessler, D	1960		Guttulina, a rediscovered genus of cellular slime mold.	abstract no. G27
2068	Mercer, E H	1960		Electron microscopy of solitary and aggregated slime mould cells.	
1197	Olive, L S	1960		Acrasiales of the West Indies.	
1204	Olive, L S	1960		Two new members of the Acrasiales.	
5996	Rai, J N	1960		Some new records in Indian soil fungi.	\ letter to the editor
1308	Raper, k B	1960		Levels of cellular interaction in amoeboid populations.	
3561	Raper, K B	1960		Acrasiales.	
1374	Ross, I K	1960		Studies on diploid strains of Dictyostelium discoideum.	
1328	Russell, G K	1960		A note on spore germination in the cellular slime mold Dictyostelium mucoroides.	
7028	Samuel, E W	1960		Orientation and rate of locomotion of individual amoebae in the life cycle of the cellular slime mold Dictyostelium mucoroides.	
5103	Sussman, M	1960		Animal growth and development	
1422	Sussman, R R	1960		The dissociation of morphogenesis from cell division in the cellular slime mould, Dictyostelium discoideum.	
1909	Sussman, R R	1960	13835805	The appearance and inheritance of the I-cell phenotype in Dictyostelium discoideum.	
1514	Takeuchi, I	1960	13836682	The correlation of cellular changes with succinic dehydrogenase and cytochrome oxidase activities in the development of the cellular slime molds.	
8927	Takeuchi, I	1960		A biochemical study of development of the cellular slime mold	
1977	Whittingham, W F	1960		Non-viability of stalk cells in Dictyostelium.	
3383	Wright, B E	1960		On enzyme-substrate relationships during biochemical differentiation	
3382	Wright, B E	1960	13786767	Protein and amino acid turnover during differentiation in the slime mold. I. Utilization of endogenous amino acids and proteins.	
3394	Wright, B E	1960		Protein and amino acid turnover during differentiation in the slime mold. II. Incorporation of 35S-methionine into the amino acid pool and into protein.	
3898	Wright, B E	1960		In vivo investigations of glucose metabolism in a differentiating slime mold.	abstract no. G29
240	Clegg, J S	1961		Trehalose in the cellular slime mould Dictyostelium mucoroides.	
4351	Dutta, S K	1961		The identification of physiological races of a fungal phytopathogen using strains of the slime mold Acrasis rosea.	
530	Gerisch, G	1961	13897955	Zellfunktionen und Zellfunktionwechsel in der Entwicklung von Dictyostelium discoideum. II. Aggregation homogener Zellpopulationen und Zentrenbildung.	"Article in German.  English title: ""Cell functions and cell functional changes in the development of Dictyostelium discoideum. II. Aggregation of homogenous cell populations and center formation"""
531	Gerisch, G	1961		Zellfunktionen un Zellfunktionwechsel in der Entwicklung von Dictyostelium discoideum. III. Getrennte Beeinflussung von Zelldifferenzierung und Morphogenese.	
2033	Gerisch, G	1961	13897956	Zellfunktionen und Zellfunktionswechsel in der Entwicklung von Dictyostelium discoideum. V. Stadienspezifische Zellkontaktbildung und ihre quantitative Erfassung.	"Article in German.  English title: ""Cell functions and change in cell function in the development of Dictyostelium discoideum. V. Stage-specific cell contact formation and its quantitative evaluation"""
3477	Gerisch, G	1961		Zellkontaktbildung vegetativer und aggregationsreifer Zellen von Dictyostelium discoideum.	
567	Gezelius, K	1961		Further studies in the ultrastructure of Acrasiae.	
611	Gregg, J H	1961	13901613	An immunoelectrophoretic study of the slime mold Dictyostelium discoideum.	
2961	Konijn, T M	1961		Cell aggregation in Dictyostelium discoideum.	
888	Konijn, T M	1961	14458213	Cell aggregation in Dictyostelium discoideum.	
4992	Krichevsky, M I	1961		The effect of environmental factors on morphogenesis and protein synthesis in Dictyostelium discoideum.	abstract G59
4468	Liddel, G	1961	13761944	The effect of glucose on respiration of the differentiating slime mold.	
7916	Liddel, G U	1961		Respiration of D. discoideum during differentiation	abstract G60
4937	Olive, L	1961		Variation in the cellular slime mold Acrasis rosea.	
2823	Opderbeck, C T	1961		The effect of histidine on aggregation in Dictyostelium purpureum.	
3558	Rai, J N	1961		Studies in cellular slime moulds from Indian soils. I. On the occurrence of Dictyostelium mucoroides Bref. and Polysphondylium violaceum.	
1352	Samuel, E W	1961		Orientation and rate of locomotion of individual amebas in the life cycle of the cellular slime mold Dictyostelium mucoroides.	
