rec_number	first_author	year	pmid	title	abstract
9477	Kortholt, A.	2012	22119747	Multiple Regulatory Mechanisms for the Dictyostelium Roco Protein GbpC	GbpC is a multidomain Roco protein in Dictyostelium, involved in transduction of intracellular cGMP that is produced by chemotactic signals. We have shown previously that cGMP binding to GbpC induces an intramolecular signaling cascade by activating subsequently the GEF, Ras, and kinase domains. In this study, we report on the cellular localization of GbpC. In resting cells, the protein is present in the cytoplasm, but GbpC rapidly translocates to the cell boundary upon stimulation with the chemoattractant cAMP. Also, during the formation of cell-cell streams and osmotic shock, the protein localizes toward the plasma membrane and actin cytoskeleton. The translocation upon cAMP stimulation occurs downstream of heterotrimeric G proteins but is independent of guanylyl cyclases and the previously identified cGMP-induced intramolecular signaling cascade in GbpC. Mutations in the GRAM domain of GbpC lead to disturbed membrane association and inactivation of GbpC function during chemotaxis in vivo. Furthermore, we show that the GRAM domain itself associates with cellular membranes and binds various phospholipids in vitro. Together, the results show that GbpC receives multiple input signals that are both required for functional activity in vivo. cAMP-stimulation induces a cGMP-dependent signaling cascade, leading to activation of kinase activity, and, independently, cAMP induces a GRAM-dependent translocation of GbpC toward the plasma membrane and cell cortex, where it may locally phosphorylate effector proteins, which are needed for proper biological activity.
9485	Kruger, A.	2012	22090348	Characterization of NE81, the first lamin-like nucleoskeleton protein in a unicellular organism	Lamins build the nuclear lamina and are required for chromatin organization, gene expression, cell cycle progression, and mechanical stabilization. Despite these universal functions, lamins have so far been found only in metazoans. We have identified protein NE81 in Dictyostelium, which has properties that justify its denomination as a lamin-like protein in a lower eukaryote. This is based on its primary structure, subcellular localization, and regulation during mitosis, and its requirement of the C-terminal CaaX box as a posttranslational processing signal for proper localization. Our knockout and overexpression mutants revealed an important role for NE81 in nuclear integrity, chromatin organization, and mechanical stability of cells. All our results are in agreement with a role for NE81 in formation of a nuclear lamina. This function is corroborated by localization of Dictyostelium NE81 at the nuclear envelope in human cells. The discovery of a lamin-like protein in a unicellular organism is not only intriguing in light of evolution, it may also provide a simple experimental platform for studies of the molecular basis of laminopathies.
9464	Kuhnert, O.	2012	22223109	Functional characterization of CP148, a novel key component for centrosome integrity in Dictyostelium	The Dictyostelium centrosome consists of a layered core structure surrounded by a microtubule-nucleating corona. A tight linkage through the nuclear envelope connects the cytosolic centrosome with the clustered centromeres within the nuclear matrix. At G2/M the corona dissociates, and the core structure duplicates, yielding two spindle poles. CP148 is a novel coiled coil protein of the centrosomal corona. GFP-CP148 exhibited cell cycle-dependent presence and absence at the centrosome, which correlates with dissociation of the corona in prophase and its reformation in late telophase. During telophase, GFP-CP148 formed cytosolic foci, which coalesced and joined the centrosome. This explains the hypertrophic appearance of the corona upon strong overexpression of GFP-CP148. Depletion of CP148 by RNAi caused virtual loss of the corona and disorganization of interphase microtubules. Surprisingly, formation of the mitotic spindle and astral microtubules was unaffected. Thus, microtubule nucleation complexes associate with centrosomal core components through different means during interphase and mitosis. Furthermore, CP148 RNAi caused dispersal of centromeres and altered Sun1 distribution at the nuclear envelope, suggesting a role of CP148 in the linkage between centrosomes and centromeres. Taken together, CP148 is an essential factor for the formation of the centrosomal corona, which in turn is required for centrosome/centromere linkage.
10272	Kuhnert, O.	2012	22744750	CP55, a novel key component of centrosomal organization in Dictyostelium	Dictyostelium centrosomes consist of a layered core structure surrounded by a microtubule-nucleating corona. At the G2/M transition, the corona dissociates and the core structure duplicates, yielding two spindle pole bodies. Finally, in telophase, the spindle poles mature into two new, complete centrosomes. CP55 was identified in a centrosomal proteome analysis. It is a component of the centrosomal core structure, and persists at the centrosome throughout the entire cell cycle. FRAP experiments revealed that during interphase the majority of centrosomal GFP-CP55 is immobile, which indicates a structural task of CP55 at the centrosome. The CP55null mutant is characterized by increased ploidy, a less structured, slightly enlarged corona, and by supernumerary, cytosolic MTOCs, containing only corona proteins and lacking a core structure. Live cell imaging showed that supernumerary MTOCs arise in telophase. Lack of CP55 also caused premature recruitment of the corona organizer CP148 to mitotic spindle poles, already in metaphase instead of telophase. Forces transmitted through astral microtubules may expel prematurely acquired or loosely attached corona fragments into the cytosol, where they act as independent MTOCs. CP55null cells were also impaired in growth, most probably due to difficulties in centrosome splitting during prophase. Furthermore, although they were still capable of phagocytosis, they appeared unable to utilize phagocytosed nutrients. This inability may be attributed to their partially disorganized Golgi apparatus.
10385	Kuwayama, H.	2012	22896810	Arachidonic acid enhances caffeine-induced cell death via caspase-independent cell death	Caffeine is a globally consumed psychostimulant but can be fatal to cells at overdose exposures. Although caspase-dependent apoptosis plays a role in caffeine-induced cell death, the responsible intracellular signalling cascade remains incompletely understood. The cellular slime mould, Dictyostelium discoideum, does not possess caspase-dependent apoptotic machinery. Here, we observed that ablation of D. discoideumplaA, which encodes a phospholipase A2 (PLA(2)) homolog, leads to a decreased rate of cell death under high caffeine concentrations and to enhanced cell death with the addition of arachidonic acid. Moreover, the inhibition of PLA(2) activity lead to a recovery of the survival rate in caspase-inhibited Hela cervical carcinoma cells under high caffeine concentrations, indicating that caffeine-induced cell death is enhanced via PLA(2)-dependent signalling. Our results indicate that arachidonic acid may be a general second messenger that negatively regulates caffeine tolerance via a caspase-independent cell death cascade, which leads to multiple effects in eukaryotic cells.
10381	Lamrabet, O.	2012	22511965	The genealogic tree of mycobacteria reveals a long-standing sympatric life into free-living protozoa	Free-living protozoa allow horizontal gene transfer with and between the microorganisms that they host. They host mycobacteria for which the sources of transferred genes remain unknown. Using BLASTp, we searched within the genomes of 15 mycobacteria for homologous genes with 34 amoeba-resistant bacteria and the free-living protozoa Dictyostelium discoideum. Subsequent phylogenetic analysis of these sequences revealed that eight mycobacterial open-reading frames (ORFs) were probably acquired via horizontal transfer from beta- and gamma-Proteobacteria and from Firmicutes, but the transfer histories could not be reliably established in details. One further ORF encoding a pyridine nucleotide disulfide oxidoreductase (pyr-redox) placed non-tuberculous mycobacteria in a clade with Legionella spp., Francisella spp., Coxiella burnetii, the ciliate Tetrahymena thermophila and D. discoideum with a high reliability. Co-culturing Mycobacterium avium and Legionella pneumophila with the amoeba Acanthamoeba polyphaga demonstrated that these two bacteria could live together in amoebae for five days, indicating the biological relevance of intra-amoebal transfer of the pyr-redox gene. In conclusion, the results of this study support the hypothesis that protists can serve as a source and a place for gene transfer in mycobacteria.
10278	Lee, J.	2012	23083712	Video-rate confocal microscopy for single-molecule imaging in live cells and superresolution fluorescence imaging	There is no confocal microscope optimized for single-molecule imaging in live cells and superresolution fluorescence imaging. By combining the swiftness of the line-scanning method and the high sensitivity of wide-field detection, we have developed a, to our knowledge, novel confocal fluorescence microscope with a good optical-sectioning capability (1.0 mum), fast frame rates (<33 fps), and superior fluorescence detection efficiency. Full compatibility of the microscope with conventional cell-imaging techniques allowed us to do single-molecule imaging with a great ease at arbitrary depths of live cells. With the new microscope, we monitored diffusion motion of fluorescently labeled cAMP receptors of Dictyostelium discoideum at both the basal and apical surfaces and obtained superresolution fluorescence images of microtubules of COS-7 cells at depths in the range 0-85 mum from the surface of a coverglass.
10306	Lee, M. R.	2012	22923101	Cell migration: regulation of cytoskeleton by Rap1 in Dictyostelium discoideum	Cell movement involves a coordinated regulation of the cytoskeleton, F-actin-mediated protrusions at the front and myosin-mediated contraction of the posterior of a cell. The small GTPase Rap1 functions as a key regulator in the spatial and temporal control of cytoskeleton reorganization for cell migration. This review outlines the establishment of cell polarity by differential localizations of the cytoskeleton and discusses the spatial and temporal regulation of cytoskeleton reorganization via the Rap1 signaling pathway during chemotaxis with a focus on recent advances in the study of chemotaxis using a simple eukaryotic model organism, Dictyostelium discoideum.
10269	Leo, M.	2012	23213391	Rules of engagement: centrosome-nuclear connections in a closed mitotic system	The assembly of a functional mitotic spindle is essential for cell reproduction and requires a precise coordination between the nuclear cycle and the centrosome. This coordination is particularly prominent in organisms that undergo closed mitosis where centrosomes must not only respond to temporal signals, but also to spatial considerations, e.g. switching from the production of cytoplasmic microtubule arrays to the generation of dynamic intra-nuclear microtubules required for spindle assembly. We utilize a gene knockout of Kif9, a Dictyostelium discoideum Kin-I kinesin, to destabilize the physical association between centrosomes and the nuclear envelope. This approach presents a unique opportunity to reveal temporal and spatial components in the regulation of centrosomal activities in a closed-mitosis organism. Here we report that centrosome-nuclear engagement is not required for the entry into mitosis. Although detached centrosomes can duplicate in the cytoplasm, neither they nor nuclei alone can produce spindle-like microtubule arrays. However, the physical association of centrosomes and the nuclear envelope is required to progress through mitosis beyond prometaphase.
10340	Lima, W. C.	2012	22357942	Mucolipin controls lysosome exocytosis in Dictyostelium	Mucolipidosis type IV is a poorly understood lysosomal storage disease caused by alterations in the mucolipin lysosomal Ca(2+) channel. In this study, we generated mucolipin-knockout Dictyostelium cells, and observed that lysosome exocytosis was markedly increased in these cells compared with wild-type cells. In addition, mucolipin-knockout cells were more resistant to Ca(2+) deprivation, and the Ca(2+) concentration in their secretory lysosomes was decreased, suggesting that mucolipin transfers Ca(2+) ions from the cytosol to the lumen of secretory lysosomes. We speculate that mucolipin attenuates the fusogenic effect of local cytosolic increases in Ca(2+) by dissipating them into the lumen of lysosomal compartments.
9472	Linkner, J.	2012	22154549	Highly effective removal of floxed Blasticidin S resistance cassettes from Dictyostelium discoideum mutants by extrachromosomal expression of Cre	The inactivation of proteins in cells is inevitable to study their physiological role in various cellular processes. In contrast to strategies to alter the amount of active proteins in cells, only a gene knockout guarantees complete removal of the protein of interest. For Dictyostelium discoideum cells, the gene replacement construct typically consists of a Blasticidin S resistance (Bsr) cassette flanked by fragments of the target gene to allow insertion by homologous recombination. More advanced knockout constructs additionally carry loxP sites on both sides of the Bsr cassettes for subsequent removal of the selection marker by transient expression of Cre recombinase, thus allowing generation of multiple knockouts using just a single selection marker. However, due to its design, the available neomycin selection-based Cre expression plasmid occasionally tends to integrate into the genome and also yield only a moderate number of transfectants in liquid media. In some cases, for instance in SCAR-null cells, it was not possible to remove the Bsr cassette without stable integration of the Cre expression vector into the genome. To circumvent these difficulties we designed the extrachromosomal Cre-recombinase expression vector pTX-NLS-Cre. We verified the greatly improved efficacy of this novel Cre-loxP approach by removal of the Bsr cassette in five different cell lines including the SCAR-null mutant. As a consequence, this vector will be a highly valuable means for the rapid generation of single or multiple mutants remaining sensitive to the most reliable selection markers Blasticidin S and neomycin.
10342	Lo Sardo, V.	2012	22466506	An evolutionary recent neuroepithelial cell adhesion function of huntingtin implicates ADAM10-Ncadherin	The Huntington's disease gene product, huntingtin, is indispensable for neural tube formation, but its role is obscure. We studied neurulation in htt-null embryonic stem cells and htt-morpholino zebrafish embryos and found a previously unknown, evolutionarily recent function for this ancient protein. We found that htt was essential for homotypic interactions between neuroepithelial cells; it permitted neurulation and rosette formation by regulating metalloprotease ADAM10 activity and Ncadherin cleavage. This function was embedded in the N terminus of htt and was phenocopied by treatment of htt knockdown zebrafish with an ADAM10 inhibitor. Notably, in htt-null cells, reversion of the rosetteless phenotype occurred only with expression of evolutionarily recent htt heterologues from deuterostome organisms. Conversely, all of the heterologues that we tested, including htt from Drosophila melanogaster and Dictyostelium discoideum, exhibited anti-apoptotic activity. Thus, anti-apoptosis may have been one of htt's ancestral function(s), but, in deuterostomes, htt evolved to acquire a unique regulatory activity for controlling neural adhesion via ADAM10-Ncadherin, with implications for brain evolution and development.
9499	Lobanov, M. Y.	2012	22009164	Occurrence of disordered patterns and homorepeats in eukaryotic and bacterial proteomes	Combining the motif discovery and disorder protein segment identification in PDB allows us to create the first and largest library of disordered patterns. At present the library includes 109 disordered patterns. Here we offer a comprehensive analysis of the occurrence of selected disordered patterns and 20 homorepeats of 6 residues long in 123 proteomes. 27 disordered patterns occur sparsely in all considered proteomes, but the patterns of low-complexity-homorepeats-appear more often in eukaryotic than in bacterial proteomes. A comparative analysis of the number of proteins containing homorepeats of 6 residues long and the disordered selected patterns in these proteomes has been performed. The matrices of correlation coefficients between numbers of proteins where at least once a homorepeat of six residues long for each of 20 types of amino acid residues and 109 disordered patterns from the library appears in 9 kingdoms of eukaryota and 5 phyla of bacteria have been calculated. As a rule, the correlation coefficients are higher inside the considered kingdom than between them. The largest fraction of homorepeats of 6 residues belongs to Amoebozoa proteomes (D. discoideum), 46%. Moreover, the longest uninterrupted repeats belong to S306 from D. discoideum (Amoebozoa). Homorepeats of some amino acids occur more frequently than others and the type of homorepeats varies across different proteomes, . For example, E6 appears most frequent for all considered proteomes for Chordata, Q6 for Arthropoda, S6 for Nematoda. The averaged occurrence of multiple long runs of 6 amino acids in a decreasing order for 97 eukaryotic proteomes is as follows: Q6, S6, A6, G6, N6, E6, P6, T6, D6, K6, L6, H6, R6, F6, V6, I6, Y6, C6, M6, W6, and for 26 bacterial proteomes it is A6, G6, P6, and the others occur seldom. This suggests that such short similar motifs are responsible for common functions for nonhomologous, unrelated proteins from different organisms.
10377	Loomis, W. F.	2012	22952588	Innate non-specific cell substratum adhesion	Adhesion of motile cells to solid surfaces is necessary to transmit forces required for propulsion. Unlike mammalian cells, Dictyostelium cells do not make integrin mediated focal adhesions. Nevertheless, they can move rapidly on both hydrophobic and hydrophilic surfaces. We have found that adhesion to such surfaces can be inhibited by addition of sugars or amino acids to the buffer. Treating whole cells with alphalpha-mannosidase to cleave surface oligosaccharides also reduces adhesion. The results indicate that adhesion of these cells is mediated by van der Waals attraction of their surface glycoproteins to the underlying substratum. Since glycoproteins are prevalent components of the surface of most cells, innate adhesion may be a common cellular property that has been overlooked.
10356	Lusche, D. F.	2012	22375061	The IplA Ca2+ channel of Dictyostelium discoideum is necessary for chemotaxis mediated through Ca2+, but not through cAMP, and has a fundamental role in natural aggregation	During aggregation of Dictyostelium discoideum, nondissipating, symmetrical, outwardly moving waves of cAMP direct cells towards aggregation centers. It has been assumed that the spatial and temporal characteristics of the front and back of each cAMP wave regulate both chemokinesis and chemotaxis. However, during the period preceding aggregation, cells acquire not only the capacity to chemotax in a spatial gradient of cAMP, but also in a spatial gradient of Ca(2+). The null mutant of the putative IplA Ca(2+) channel gene, iplA(-), undergoes normal chemotaxis in spatial gradients of cAMP and normal chemokinetic responses to increasing temporal gradients of cAMP, both generated in vitro. However, iplA(-) cells lose the capacity to undergo chemotaxis in response to a spatial gradient of Ca(2+), suggesting that IplA is either the Ca(2+) chemotaxis receptor or an essential component of the Ca(2+) chemotaxis regulatory pathway. In response to natural chemotactic waves generated by wild-type cells, the chemokinetic response of iplA(-) cells to the temporal dynamics of the cAMP wave is intact, but the capacity to reorient in the direction of the aggregation center at the onset of each wave is lost. These results suggest that transient Ca(2+) gradients formed between cells at the onset of each natural cAMP wave augment reorientation towards the aggregation center. If this hypothesis proves correct, it will provide a more complex contextual framework for interpreting D. discoideum chemotaxis.
10264	Macro, L.	2012	22992464	Dynamics of clathrin-mediated endocytosis and its requirement for organelle biogenesis in Dictyostelium	The protein clathrin mediates one of the major pathways of endocytosis from the extracellular milieu and plasma membrane. In single-cell eukaryotes, such as Saccharomyces cerevisiae, the gene encoding clathrin is not an essential gene, raising the question of whether clathrin conveys specific advantages for multicellularity. Furthermore, in contrast to mammalian cells, endocytosis in S. cerevisiae is not dependent on either clathrin or adaptor protein 2 (AP2), an endocytic adaptor molecule. In this study, we investigated the requirement for components of clathrin-mediated endocytosis (CME) in another unicellular organism, the amoeba Dictyostelium. We identified a heterotetrameric AP2 complex in Dictyostelium that is similar to that which is found in higher eukaryotes. By simultaneously imaging fluorescently tagged clathrin and AP2, we found that, similar to higher eukaryotes, these proteins colocalized to membrane puncta that move into the cell together. In addition, the contractile vacuole marker protein, dajumin-green fluorescent protein (GFP), is trafficked via the cell membrane and internalized by CME in a clathrin-dependent, AP2-independent mechanism. This pathway is distinct from other endocytic mechanisms in Dictyostelium. Our finding that CME is required for the internalization of contractile vacuole proteins from the cell membrane explains the contractile vacuole biogenesis defect in Dictyostelium cells lacking clathrin. Our results also suggest that the machinery for CME and its role in organelle maintenance appeared early during eukaryotic evolution. We hypothesize that dependence of endocytosis on specific components of the CME pathway evolved later, as demonstrated by internalization independent of AP2 function.
10280	Mancilla-Herrera, I.	2012	23043976	A Toll/IL-1R/resistance domain-containing thioredoxin regulates phagocytosis in Entamoeba histolytica	BACKGROUND: Entamoeba histolytica is a protozoan parasite that infects humans and causes amebiasis affecting developing countries. Phagocytosis of epithelial cells, erythrocytes, leucocytes, and commensal microbiota bacteria is a major pathogenic mechanism used by this parasite. A Toll/IL-1R/Resistance (TIR) domain-containing protein is required in phagocytosis in the social ameba Dictyostelium discoideum, an ameba closely related to Entamoeba histolytica in phylogeny. In insects and vertebrates, TIR domain-containing proteins regulate phagocytic and cell activation. Therefore, we investigated whether E. histolytica expresses TIR domain-containing molecules that may be involved in the phagocytosis of erythrocytes and bacteria. METHODS: Using in silico analysis we explored in Entamoeba histolytica databases for TIR domain containing sequences. After silencing TIR domain containing sequences in trophozoites by siRNA we evaluated phagocytosis of erythrocytes and bacteria. RESULTS: We identified an E. histolytica thioredoxin containing a TIR-like domain. The secondary and tertiary structure of this sequence exhibited structural similarity to TIR domain family. Thioredoxin transcripts silenced in E. histolytica trophozoites decreased erythrocytes and E. coli phagocytosis. CONCLUSION: TIR domain-containing thioredoxin of E. histolytica could be an important element in erythrocytes and bacteria phagocytosis.
10314	Martinez-Costa, O. H.	2012	22530721	Distinct functional roles of the two terminal halves of eukaryotic phosphofructokinase	Eukaryotic PFK (phosphofructokinase), a key regulatory enzyme in glycolysis, has homologous N- and C-terminal domains thought to result from duplication, fusion and divergence of an ancestral prokaryotic gene. It has been suggested that both the active site and the Fru-2,6-P2 (fructose 2,6-bisphosphate) allosteric site are formed by opposing N- and C-termini of subunits orientated antiparallel in a dimer. In contrast, we show in the present study that in fact the N-terminal halves form the active site, since expression of the N-terminal half of the enzymes from Dictyostelium discoideum and human muscle in PFK-deficient yeast restored growth on glucose. However, the N-terminus alone was not stable in vitro. The C-terminus is not catalytic, but is needed for stability of the enzyme, as is the connecting peptide that normally joins the two domains (here included in the N-terminus). Co-expression of homologous, but not heterologous, N- and C-termini yielded stable fully active enzymes in vitro with sizes and kinetic properties similar to those of the wild-type tetrameric enzymes. This indicates that the separately translated domains can fold sufficiently well to bind to each other, that such binding of complementary domains is stable and that the alignment is sufficiently accurate and tight as to preserve metabolite binding sites and allosteric interactions.
10365	Matsuoka, S.	2012	22383650	Visualizing single molecules in living Dictyostelium cells using total internal reflection fluorescent microscopy (TIRFM)	Environmental changes result in signaling events at cell membranes. To develop the means to understand these events at the molecular level, it is essential to become familiar with the stochastic nature of signaling molecules in living cells. Using total internal reflection fluorescent microscopy (TIRFM), these signaling events can be directly observed at the single-molecule level. This protocol describes the procedure used for objective-type TIRFM to visualize single fluorescent molecules in living Dictyostelium cells, which are highly sensitive to chemoattractant stimulation. This method can also be applied to other cell types.
10366	Matsuoka, S.	2012	22383649	Preparation of an imaging chamber for visualizing single molecules in living Dictyostelium cells	Environmental changes result in signaling events at cell membranes. To develop the means to understand these events at the molecular level, it is essential to become familiar with the stochastic nature of signaling molecules in living cells. Using total internal reflection fluorescent microscopy (TIRFM), these signaling events can be directly observed at the single-molecule level. This protocol describes the preparation of an imaging chamber to visualize single molecules in living Dictyostelium cells, which are highly sensitive to chemoattractant stimulation. It also describes treatment of the cells to allow visualization. Chemotactically competent cells are treated with the desired chemical, and the cell suspension is delivered onto coverslips and then overlaid with a thin agarose sheet in preparation for imaging. The cells are typically treated with a fluorescently labeled stimulant or inhibitor. Alternatively, the cells can be stimulated with photoreactive chemicals by using caged compounds. A caged compound is photoactivatable by irradiation with ultraviolet (UV) light, which cleaves a linker conjugating a caging moiety and a chemical. Thus, at a desired moment during recording of the single-molecule images, the concentration of the chemicals can be increased by photolysis of the caged compounds included in the buffer.
10367	Matsuoka, S.	2012	22383648	Preparation of chemotactically competent Dictyostelium cells	Environmental changes result in signaling events in cell membranes. To develop the means to understand these events at the molecular level, it is essential to become familiar with the stochastic nature of signaling molecules in living cells. Using total internal reflection fluorescent microscopy (TIRFM), these signaling events can be directly observed at the single-molecule level. This protocol describes the preparation of chemotactically competent Dictyostelium cells. These cells are highly sensitive to chemoattractant stimulation and can be used to visualize single molecules with TIRFM.
9504	Meza, I.	2012	21963788	Molecular and functional characterization of an Entamoeba histolytica protein (EhMLCI) with features of a myosin essential light chain	Entamoeba histolytica, a protozoan parasite of humans, relays on its striking motility to survive and invade host tissues. Characterization of the molecular components involved in motile processes is crucial to understand its pathogenicity. Although protein components of myosin II hexamers have been predicted from E. histolytica genome data, only a heavy chain of myosin, EhmhcA, has been characterized so far. We have cloned an E. histolytica cDNA sequence that best matched Dictyostelium discoideum myosin essential light chain and found that the cloned sequence is transcribed as an mRNA of 0.445 kb which could encode a protein of 16.88 kDa, within the predicted range for a myosin light chain. In silico analyses revealed that the protein sequence, named EhMLCI, shows two consensus domains for binding MHC, but lacks the N-terminal sequence for actin binding, as in A2 type myosin essential light chains. A single EF-hand calcium-binding domain was identified in the C-terminus and several high score predictability sites for serine and tyrosine phosphorylation. Antibodies to recombinant EhMLCI identified two proteins of approximately 17 and 15 kDa in trophozoite extracts, the latter phophorylated in tyrosines. Serine phosphorylation was not detected. Immunomicroscopy revealed EhMLCI cortical and cytoplasmic distribution in trophozoites and true colocalization with EhmhcA determined by PCC. Co-immunoprecipitation corroborated EhMLCI interaction with EhmhcA. EhMLCI was also localized in actomyosin-containing complexes. Differential partition of phospho-tyrosinated EhMLCI into cell fractions containing the soluble form of EhmhcA and its lack of serine phosphorylation suggest its possible participation in a novel down regulatory mechanism of myosin II activity in E. histolytica.
9460	Mir, H.	2012	22279946	Staurosporine induced poly (ADP-ribose) polymerase independent cell death in Dictyostelium discoideum	In the present study D. discoideum has been used as a model organism to understand the role of poly (ADP-ribose) polymerase (PARP) in caspase independent paraptotic cell death pathways. D. discoideum lacks caspases and Bcl-2 family proteins; nevertheless it has 9 potential genes for PARP. PARP has been known to get activated in various cell death associated diseases. In this study kinetics of cell death induced by staurosporine (STS), a bacterial alkaloid, was established to unravel the role of PARP. It was found that STS induced cell death in D. discoideum did not involve PARP activation, however it involved cathepsin D. Results indicated that an alternative mechanism may be existing in D. discoideum that lacks Bcl-2 family proteins for STS induced cell death that evades Bax involvement.
10347	Moorthy, B. S.	2012	22326871	Multistate allostery in response regulators: phosphorylation and mutagenesis activate RegA via alternate modes	Response regulators (RRs) belong to two-component signaling pathways, widely prevalent in bacteria and lower eukaryotes, for sensing and mediating responses to diverse environmental stress stimuli. RRs are modular proteins, and in most instances, a receiver domain is found connected to diverse effector domain(s). All receiver domains contain a conserved aspartate, which is the site of phosphorylation by an associated histidine kinase. RRs function as phosphorylatable signaling switches whereby histidine-kinase-mediated phosphorylation of RRs alters its output function. It is largely unknown how phosphorylation of the receiver domain triggers activation of distally positioned effector domain(s). Although crystal structures have highlighted differences in conformations from comparisons of snapshots of the unphosphorylated and phosphorylated receiver domains, how this is translated into altered activity of a distal effector domain has remained a mystery. While allosteric relays have been identified within receiver domains by NMR and X-ray crystallography, phosphorylated states of larger multidomain RRs have not yet been characterized. In this study, we have used amide hydrogen/deuterium exchange mass spectrometry to probe the conformational dynamics of a multidomain RR, RegA from Dictyostelium discoideum, by comparisons of the unphosphorylated and phosphorylated states and an activating mutant. Our results reveal allosteric coupling between the site of phosphorylation and the activating mutation. Interestingly, however, the conformations of the effector domains in both instances are distinct. Hydrogen/deuterium exchange mass spectrometry indicates that the 'inactive' and 'active' conformations exist as ensembles of multiple conformations. This is consistent with the 'conformational selection' model for describing phosphorylation-dependent regulation of multidomain RRs.
10369	Motohashi, K. A.	2012	22972328	Identification of des-methyl-DIF-1 methyltransferase in Dictyostelium purpureum	The signalling molecule 1-(3,5-dichloro-2,6-dihydroxy-4-methoxyphenyl) hexan-1-one (DIF-1) is required for differentiation and pattern formation in Dictyostelium discoideum development. DIF-1 is synthesized by three enzymes, a hybrid polyketide synthase, a flavin-dependent halogenase, and a des-methyl-DIF-1 methyltransferase. The genome data on the related species D. purpureum are now public. Using this genome information, des-methyl-DIF-1 methyltransferase of D. purpureum was identified, and was named Dp dmtA. Overexpression of Dp dmtA complemented the defects in basal disc formation and lower cup formation in a dmtA knock-out mutant of D. discoideum. This indicates that Dp dmtA has the same function as D. discoideum dmtA and compensates for loss of the dmtA gene in the D. discoideum dmtA mutant. The materials released in the medium by D. purpureum contained stalk-inducing activity with the same retention time as that of DIF-1 in HPLC fractionation. This indicates that the stalk-inducing signal of DIF-1 and des-methyl-DIF-1 methyltransferase are conserved in D. purpureum.
10322	Mun, H.	2012	22644079	Regulation of actin cytoskeleton by Rap1 binding to RacGEF1	Rap1 is rapidly and transiently activated in response to chemoattractant stimulation and helps establish cell polarity by locally modulating cytoskeletons. Here, we investigated the mechanisms by which Rap1 controls actin cytoskeletal reorganization in Dictyostelium and found that Rap1 interacts with RacGEF1 in vitro and stimulates F-actin polymerization at the sites where Rap1 is activated upon chemoattractant stimulation. Live cell imaging using GFP-coronin, a reporter for F-actin, demonstrates that cells expressing constitutively active Rap1 (Rap1CA) exhibit a high level of F-actin uniformly distributed at the cortex including the posterior and lateral sides of the chemotaxing cell. Examination of the localization of a PH-domain containing PIP3 reporter, PhdA-GFP, and the activation of Akt/Pkb and other Ras proteins in Rap1CA cells reveals that activated Rap1 has no effect on the production of PIP3 or the activation of Akt/Pkb and Ras proteins in response to chemoattractant stimulation. Rac family proteins are crucial regulators in actin cytoskeletal reorganization. In vitro binding assay using truncated RacGEF1 proteins shows that Rap1 interacts with the DH domain of RacGEF1. Taken together, these results suggest that Rap1-mediated F-actin polymerization probably occurs through the Rac signaling pathway by directly binding to RacGEF1.
10309	Muraki, M.	2012	22762186	Heterologous production of death ligands' and death receptors' extracellular domains: structural features and efficient systems	The extracellular domains of death ligands and those of death receptors are closely related to many serious human diseases through the initiation of apoptosis. Recombinant production of the extracellular domains has been investigated due to demand for a large amount of purified samples, which are a prerequisite for their biochemical characterization and constitute the fundamentals of medical applications. This review focuses on the recombinant production of extracellular domains of the major members of death ligand and death receptor families using non-mammalian expression systems with an emphasis on Fas ligand and Fas receptor. In contrast to the efficient production of the functional extracellular domains of TRAIL, TNFalpha and LTalpha by intracellular expression systems using Escherichia coli or Pichia pastoris, that of Fas ligand requires the secretory expression systems using P. pastoris or Dictyostelium discoideum, and the productivity in P. pastoris was largely dependent on tag sequence, potential N-glycosylation site and expressed protein region. On the other hand, the exploitation of insect cell systems is generally useful for the preparation of functional extracellular domains of death receptors containing many disulfide bridges in the absence of extended secondary structure, and a Bombyx mori larvae secretion system presented a superior productivity for human Fas receptor extracellular domain. Based on the results obtained so far, further efforts should be devoted to the artificial control of death ligand - death receptor interactions in order to make a contribution to medicine, represented by the development of novel biopharmaceuticals.
10335	Muramoto, T.	2012	22529358	Live imaging of nascent RNA dynamics reveals distinct types of transcriptional pulse regulation	"Transcription of genes can be discontinuous, occurring in pulses or bursts. It is not clear how properties of transcriptional pulses vary between different genes. We compared the pulsing of five housekeeping and five developmentally induced genes by direct imaging of single gene transcriptional events in individual living Dictyostelium cells. Each gene displayed its own transcriptional signature, differing in probability of firing and pulse duration, frequency, and intensity. In contrast to the prevailing view from both prokaryotes and eukaryotes that transcription displays binary behavior, strongly expressed housekeeping genes altered the magnitude of their transcriptional pulses during development. These nonbinary ""tunable"" responses may be better suited than stochastic switch behavior for housekeeping functions. Analysis of RNA synthesis kinetics using fluorescence recovery after photobleaching implied modulation of housekeeping-gene pulse strength occurs at the level of transcription initiation rather than elongation. In addition, disparities between single cell and population measures of transcript production suggested differences in RNA stability between gene classes. Analysis of stability using RNAseq revealed no major global differences in stability between developmental and housekeeping transcripts, although strongly induced RNAs showed unusually rapid decay, indicating tight regulation of expression."
